SCIENTIFIC NAME	OBSERVATION COUNT	LATITUDE	LONGITUDE	OBSERVATION DATE
Turdus flavipes	1	-19.136847	-40.061527000000005	2015-10-29
Turdus flavipes	1	-19.136847	-40.061527000000005	2015-10-29
Turdus flavipes	15	-20.49277	-41.02675	2015-11-18
Turdus flavipes	1	-19.94356	-40.5619	2015-11-16
Turdus flavipes	1	-20.49277	-41.02675	2016-01-14
Turdus flavipes	1	-18.418272299999998	-39.7203505	2016-05-14
Turdus flavipes	1	-20.045137	-40.531290000000006	2016-05-07
Turdus flavipes	8	-20.4771669	-40.7226679	2016-05-14
Turdus flavipes	1	-20.5814739	-41.7650503	2016-06-17
Turdus flavipes	1	-20.49277	-41.02675	2016-06-21
Turdus flavipes	1	-20.5853046	-41.7613506	2016-06-17
Turdus flavipes	7	-20.5878623	-41.7622716	2016-06-21
Turdus flavipes	2	-20.5878623	-41.7622716	2016-06-22
Turdus flavipes	5	-20.5878623	-41.7622716	2016-06-23
Turdus flavipes	1	-20.49277	-41.02675	2016-06-21
Turdus flavipes	8	-20.5878623	-41.7622716	2016-07-08
Turdus flavipes	1	-20.2422271	-41.1532831	2016-07-31
Turdus flavipes	1	-20.5878623	-41.7622716	2016-07-19
Turdus flavipes	2	-20.5878623	-41.7622716	2016-07-14
Turdus flavipes	1	-20.580246300000002	-41.77533	2016-08-18
Turdus flavipes	2	-20.062703600000003	-40.9683633	2016-08-13
Turdus flavipes	1	-19.919722	-40.644721999999994	2016-08-27
Turdus flavipes	1	-19.919722	-40.644721999999994	2016-08-27
Turdus flavipes	1	-20.49277	-41.02675	2016-09-10
Turdus flavipes	1	-20.062808999999998	-40.96839	2016-09-24
Turdus flavipes	2	-20.465851	-41.730213	2016-09-25
Turdus flavipes	3	-20.580246300000002	-41.77533	2016-09-22
Turdus flavipes	4	-20.5853046	-41.7613506	2016-09-25
Turdus flavipes	3	-20.580246300000002	-41.77533	2016-09-22
Turdus flavipes	2	-20.599721	-41.778584	2016-09-28
Turdus flavipes	6	-20.5814739	-41.7650503	2016-09-30
Turdus flavipes	2	-20.465851	-41.730213	2016-09-25
Turdus flavipes	4	-20.5853046	-41.7613506	2016-09-22
Turdus flavipes	1	-20.49277	-41.02675	2016-09-08
Turdus flavipes	2	-20.465851	-41.730213	2016-09-27
Turdus flavipes	2	-20.465851	-41.730213	2016-09-27
Turdus flavipes	1	-19.919722	-40.644721999999994	2016-09-07
Turdus flavipes	4	-20.5853046	-41.7613506	2016-09-22
Turdus flavipes	6	-20.062808999999998	-40.96839	2016-09-02
Turdus flavipes	4	-20.5853046	-41.7613506	2016-09-25
